userName,score,at,content
Pengguna Google,2,2016-01-28 07:52:57,Perinciannya pembayaran tidak muncul dengan baik dan harga yang tercantum tidak termasuk denda bila melewati tgl 20. Mohon diperbaiki
Pengguna Google,5,2016-01-24 09:01:41,good
Pengguna Google,1,2016-01-21 07:28:52,Ribet
Pengguna Google,5,2016-01-10 00:24:05,Enjoy
Pengguna Google,1,2015-12-18 07:15:58,Ga bs cek tagihan
Pengguna Google,4,2015-12-16 01:00:30,Baik
Pengguna Google,1,2015-12-05 02:44:26,Komplain ke telkom tp gag ada tanggapan..udah 7 kali komplain..
Pengguna Google,5,2015-11-27 13:22:58,Di coba
Pengguna Google,5,2015-11-25 04:05:43,oke
Pengguna Google,1,2015-11-19 13:29:00,"Cara cek tag gimana, aplikasinya kaga jelas. Hal home isinya malah promosi, ini aplikasi promosi ato self Service .."
Pengguna Google,2,2015-11-19 10:18:57,Loadingnya lambat pula
Pengguna Google,5,2015-11-16 09:46:22,Ok
Pengguna Google,2,2015-11-10 11:22:36,Cek tagihannya di mana ya ?
Pengguna Google,1,2015-11-03 12:22:18,Jangan install. Ngabisin memory hape doang ( -.-)ﾉ
Pengguna Google,4,2015-10-15 15:06:54,Its good
Pengguna Google,1,2015-10-09 16:38:28,Sama aja kaya buka di browser mobile. Ngabis2in memori internal aja...
Pengguna Google,5,2015-09-29 04:07:53,Joss
Pengguna Google,1,2015-09-21 10:42:24,My telko
Pengguna Google,1,2015-09-21 09:56:49,Berat banget loddingnya broth..
Pengguna Google,5,2015-09-15 15:47:01,Sangat membantu untuk melihat tagihan
Pengguna Google,5,2015-08-13 15:42:19,Sangat membantu
Pengguna Google,5,2015-08-03 15:24:15,Layanan keren dari speedy.😊
Pengguna Google,1,2015-07-31 13:43:58,Cuma browser doang
Pengguna Google,5,2015-07-30 13:00:11,Like
Pengguna Google,1,2015-07-28 04:56:58,Payah!!!
Pengguna Google,5,2015-07-27 14:41:26,Good
Pengguna Google,5,2015-07-10 18:33:08,Mohon untuk lebih di lengkapi lagi fiturnya...!
Pengguna Google,5,2015-07-08 07:08:49,oke
Pengguna Google,5,2015-06-28 12:36:57,Mantep deh aplikasiny a
Pengguna Google,5,2015-06-23 14:04:26,membantu sekali
Pengguna Google,2,2015-06-08 09:15:38,Buat malu aja
Pengguna Google,5,2015-05-16 13:49:41,Tolong diperbaiki agar tidak berat loadingnya...
Pengguna Google,1,2015-05-12 08:40:13,Kenapa susah sekali dibuka. Loading trs.
Pengguna Google,5,2015-04-04 16:26:44,App
Pengguna Google,3,2015-03-31 14:02:08,Update
Pengguna Google,5,2015-03-18 15:55:10,Good
Pengguna Google,5,2015-03-13 03:44:37,Mantap
Pengguna Google,3,2015-02-25 03:54:05,Signal msh luplep kadang hilang capedeh menunggu
Pengguna Google,1,2015-02-24 13:06:50,"Saya harap di perbaiki untuk aplikasi ini, kelihatan cuman pakai webkit, jadi berat."
Pengguna Google,5,2015-02-15 02:11:22,Asik
Pengguna Google,5,2014-11-30 06:48:56,Like
Pengguna Google,3,2014-10-13 14:43:14,Blanja data
Pengguna Google,5,2014-07-21 07:20:14,Ok
